The Best NBA Player's,,,,,,
Player Name,Position,Offense,Defense,Total,War Total,Pace Impact
Landry Shamet,2393,-0.447468085,-0.874009593,-1.321477678,0.824434606,-0.251664163
Jeff Green,3333,-0.648111133,-1.08181534,-1.729926473,0.81807734,-0.19921649
Cory Joseph,2864,-1.187860744,-0.425871609,-1.613732354,0.800052387,-0.396881307
Goran Dragic,2289,-0.699413043,-0.65958867,-1.359001714,0.792957534,0.302011319
Nicolo Melli,897,-1.671665546,2.2627627,0.591097154,0.752704268,-1.249847031
Desmond Bane,2663,0.060555757,-1.628483507,-1.56792775,0.751550631,-0.550934319
Dean Wade,1872,-1.513767278,0.391764308,-1.122002971,0.743680166,-0.521594675
Will Barton,3527,-0.117336593,-1.80123336,-1.918569953,0.733234242,-0.434350345
Seth Curry,2957,0.373556837,-2.10919351,-1.735636674,0.721643756,-0.903439497
Frank Kaminsky,1096,-0.584609061,0.49191583,-0.092693231,0.717825974,-0.480953628
Semi Ojeleye,1824,-1.502126667,0.349602706,-1.152523961,0.714152268,-0.887551918
Wendell Carter Jr.,2583,-2.549878143,0.888214953,-1.66166319,0.699251107,0.072939256
Drew Eubanks,1269,-2.716360882,2.243518056,-0.472842826,0.692412164,-0.003493282
Langston Galloway,810,0.699211392,0.081236397,0.780447789,0.684541859,-0.254187665
Caleb Martin,1428,-2.891359368,2.068581943,-0.822777425,0.672630015,-0.136236803
Malachi Flynn,1336,-0.800300741,0.109289078,-0.691011663,0.659709762,-0.480069738
P.J. Washington,3430,-2.121488802,0.152963856,-1.968524946,0.656842892,0.27187379
Torrey Craig,1217,-0.822651236,0.205372567,-0.61727867,0.656185009,-0.70086725
Devin Vassell,1741,-1.289351814,0.107247119,-1.182104695,0.65031682,-0.129338282
D.J. Augustin,2075,0.768701559,-2.227310995,-1.458609436,0.634202882,-0.893808563
Chris Chiozza,490,2.442841648,-0.025099681,2.417741967,0.611249335,-0.072212626
Ish Smith,1502,-0.292222434,-0.710565222,-1.002787656,0.610135074,-0.666902777
Moritz Wagner,981,-3.032909516,2.979947756,-0.052961759,0.595509495,1.325109962
Deni Avdija,2783,-2.302513956,0.465714585,-1.836799371,0.585925595,0.046611719
Jevon Carter,1148,0.158455307,-0.829275478,-0.670820171,0.583035702,-0.616823176
Jordan McLaughlin,1753,-1.726917107,0.374166422,-1.352750686,0.577488937,-0.854491709
Ryan Arcidiacono,815,-0.80260366,0.937232294,0.134628633,0.57540327,-1.03000295
Lauri Markkanen,2359,-0.256468755,-1.509984559,-1.766453314,0.563501188,0.26558547
Alfonzo McKinnie,487,1.258486854,0.943157286,2.20164414,0.562480128,0.294236057
Bojan Bogdanovic,3950,-0.99190393,-1.178953118,-2.170857048,0.560275144,0.221935206
Denzel Valentine,1971,-1.411609882,-0.189522187,-1.601132069,0.552348937,-0.285158852
Yuta Watanabe,1246,-1.493179347,0.51821161,-0.974967738,0.529928175,-0.317351885
Tony Snell,1718,-0.129304209,-1.374592458,-1.503896667,0.526647956,-1.278320731
Alize Johnson,265,3.763397976,1.512056366,5.275454343,0.521360786,0.261666452
Josh Richardson,3112,-0.99025661,-1.092608545,-2.082865155,0.515153532,-0.69529062
Abdel Nader,761,-2.648829933,2.739519343,0.090689409,0.514649469,0.027650284
Frank Jackson,1160,-0.417910901,-0.525947219,-0.94385812,0.510688182,0.035729506
Tyler Johnson,1181,-0.602227846,-0.416817043,-1.01904489,0.495668791,-0.667770426
Dwight Howard,2197,-2.910662669,1.092352423,-1.818310246,0.494316285,0.185097418
Doug McDermott,2834,0.61824728,-2.639386361,-2.021139081,0.493544284,0.474752735
Thanasis Antetokounmpo,1098,-2.582791855,1.773885752,-0.808906103,0.491808476,0.326749041
Kira Lewis Jr.,1547,-0.564410463,-0.861827059,-1.426237522,0.489019511,0.008621742
Tacko Fall,217,1.346004634,5.512860313,6.858864947,0.48739704,-0.586138972
Goga Bitadze,927,0.306634524,-0.83636695,-0.529732427,0.475644225,0.214585464
Patrick Patterson,1049,-0.937334085,0.045205191,-0.892128894,0.475190394,-0.337867322
Elfrid Payton,2734,-0.729231574,-1.33610065,-2.065332223,0.467227135,-0.931261058
Saddiq Bey,3217,-0.888300595,-1.271312069,-2.159612665,0.466221403,-0.143273175
Lou Williams,2709,1.027186508,-3.069045178,-2.041858671,0.464143419,0.892353701
Mike Scott,1548,-2.194158173,0.677467265,-1.516690908,0.457938817,-0.308083795
Jeff Teague,1719,-0.81980478,-0.875383785,-1.695188565,0.452867493,-0.413034724
Isaiah Joe,665,-0.721871307,0.711279715,-0.010591592,0.433551336,0.392280858
JaVale McGee,1186,-2.508323296,1.2173953,-1.290927996,0.42899126,0.844208805
Gorgui Dieng,925,0.286879615,-1.122899528,-0.836019913,0.426597849,-0.041905346
JJ Redick,1443,0.508836925,-2.06449848,-1.555661556,0.411861241,0.290640472
Rodney McGruder,393,3.040808472,-1.667145056,1.373663417,0.402637857,-1.364258533
Mason Plumlee,3025,-0.85501508,-1.361731893,-2.216746974,0.400010777,-0.255198698
Luke Kornet,530,-2.736606076,3.129644771,0.393038695,0.396848647,-0.565863833
Yogi Ferrell,142,3.485467382,4.731530268,8.21699765,0.384739445,-1.49219245
Juancho Hernangomez,1595,0.32127103,-2.069859064,-1.748588034,0.381159239,-0.131763334
Jordan Nwora,499,0.210411086,0.200589308,0.411000394,0.372227661,1.691301159
Skylar Mays,469,1.088321257,-0.730067217,0.35825404,0.361369096,-0.496406817
Ersan Ilyasova,231,1.18055776,2.255584343,3.436142103,0.355404835,0.546402158
Terrence Ross,2813,-0.834611197,-1.399515484,-2.234126681,0.354447811,-0.022961165
D'Angelo Russell,1990,1.664444517,-3.69529066,-2.030846142,0.341269432,1.109239133
Keldon Johnson,3478,-0.55270079,-1.798046501,-2.350747291,0.338195287,-0.346993077
Ty Jerome,1508,1.546207508,-3.35169635,-1.805488842,0.337647929,-0.476676052
Mamadi Diakite,228,-0.585085843,4.146459573,3.56137373,0.329745089,0.39904668
Al-Farouq Aminu,803,-3.431370246,2.316325759,-1.115044488,0.328277353,0.18040493
Devontae Cacok,198,1.358860086,2.893998344,4.252858429,0.323788546,0.700302671
Dewayne Dedmon,212,5.082589247,-2.099543129,2.983046118,0.311654074,-0.425952425
Luka Samanic,522,-3.649033215,3.298948273,-0.350084942,0.306412455,0.505705332
Rayjon Tucker,112,2.738910025,6.568337323,9.307247348,0.306257304,1.616657546
Eric Bledsoe,3817,-0.806166089,-1.622359125,-2.428525214,0.298629857,0.374497528
Cristiano Felicio,124,-2.647998703,9.560635613,6.912636909,0.29135168,0.16964241
Oshae Brissett,446,0.517833667,-0.430319024,0.087514643,0.290935208,0.486317306
Jaxson Hayes,1603,-2.419502489,0.414350119,-2.00515237,0.282216325,0.22240925
DaQuan Jeffries,672,-1.55218918,0.556625978,-0.995563202,0.279642715,-0.032621316
Naji Marshall,922,-1.284800472,-0.302701338,-1.58750181,0.254052396,0.554811877
Thomas Bryant,606,-0.335839423,-0.62981343,-0.965652853,0.24758171,0.356046635
Collin Sexton,3689,0.352473964,-2.830458338,-2.477984374,0.247304891,-0.058762751
Alex Len,1861,-2.790483664,0.605139068,-2.185344596,0.243621479,0.337994753
Ricky Rubio,3295,-1.451799417,-0.988501913,-2.44030133,0.242788263,0.366131126
Dante Exum,248,-4.502592823,5.819426072,1.316833249,0.241409515,0.302450733
Otto Porter Jr.,1295,-0.5156081,-1.458204168,-1.973812268,0.241180216,0.150384581
Isaac Bonga,918,-5.473840629,3.844372298,-1.629468331,0.239896976,0.150268338
Javonte Green,798,-1.830230587,0.298880516,-1.531350071,0.239737679,0.093047802
Dylan Windler,1089,-1.350069161,-0.491699892,-1.841769053,0.239726067,0.854382103
Max Strus,834,-0.09132084,-1.51761508,-1.60893592,0.235062457,-0.306798024
John Wall,2721,-0.696991225,-1.700526776,-2.397518001,0.232305088,0.294499991
DeAndre' Bembry,1512,-2.61445091,0.493256652,-2.121194259,0.230835166,0.214152226
Brodric Thomas,417,-3.8414929,3.36869629,-0.47279661,0.229108194,0.169930152
Coby White,3873,-1.555795198,-0.948765742,-2.50456094,0.22899132,0.480662357
Jarrell Brantley,228,2.400054771,-0.963871176,1.436183595,0.227951632,0.694439981
Obi Toppin,1192,-2.540238741,0.551280959,-1.988957782,0.225779556,-0.607114195
Gary Payton II,92,4.503403236,3.282418517,7.785821753,0.219104463,1.919463126
Spencer Dinwiddie,140,-1.954155211,5.732536076,3.778380865,0.215589018,1.14529186
Kelly Oubre Jr.,3675,-3.637553677,1.127082288,-2.510471389,0.207767498,0.784928592
Wenyen Gabriel,209,-4.028567988,5.127532748,1.09896476,0.192561637,1.101334383
Aaron Nesmith,1018,-3.342383573,1.348227699,-1.994155874,0.187414543,0.415710148
Tyrell Terry,120,-5.085377772,8.772803356,3.687425583,0.183083154,-0.461919284
CJ Elleby,358,-2.412118622,1.791218294,-0.620900328,0.180049924,1.077611
E'Twaun Moore,732,-2.912552431,1.156123381,-1.756429051,0.174817503,-0.909988774
Keita Bates-Diop,321,-2.20197493,1.647355871,-0.554619059,0.167820937,-0.78266922
Cam Reddish,1606,-2.525907021,0.209519084,-2.316387937,0.167002351,0.657336734
